timestamp,highway1_len,drain_delay_h1,can_take1,can_take2
2026-04-21 22:24:05.696,5,2.1,1,1
2026-04-21 22:24:06.700,6,2.1,1,1
2026-04-21 22:24:07.705,5,2.1,1,1
2026-04-21 22:24:08.706,5,2.1,1,1
2026-04-21 22:24:09.711,5,2.1,1,1
2026-04-21 22:24:10.715,6,2.1,1,1
2026-04-21 22:24:11.717,7,2.1,1,1
2026-04-21 22:24:12.719,8,2.1,1,1
2026-04-21 22:24:13.724,8,2.1,1,1
2026-04-21 22:24:14.726,10,2.1,1,1
2026-04-21 22:24:15.730,9,2.1,0,1
2026-04-21 22:24:16.733,9,2.1,0,1
2026-04-21 22:24:17.737,8,2.1,0,1
2026-04-21 22:24:18.739,8,2.1,0,0
2026-04-21 22:24:19.742,7,2.1,0,0
