timestamp,highway1_len,drain_delay_h1,can_take2
2026-04-21 21:17:26.832,0,1.7,1
2026-04-21 21:17:26.938,0,1.7,1
2026-04-21 21:17:27.041,0,1.7,1
2026-04-21 21:17:27.145,0,1.7,1
2026-04-21 21:17:27.251,1,1.7,1
2026-04-21 21:17:27.352,1,1.7,1
2026-04-21 21:17:27.456,1,1.7,1
2026-04-21 21:17:27.559,0,1.7,1
2026-04-21 21:17:27.664,0,1.7,1
2026-04-21 21:17:27.769,0,1.7,1
2026-04-21 21:17:27.875,0,1.7,1
2026-04-21 21:17:27.980,0,1.7,1
2026-04-21 21:17:28.085,0,1.7,1
2026-04-21 21:17:28.188,0,1.7,1
2026-04-21 21:17:28.293,0,1.7,1
2026-04-21 21:17:28.395,0,1.7,1
2026-04-21 21:17:28.501,0,1.7,1
2026-04-21 21:17:28.606,0,1.7,1
2026-04-21 21:17:28.711,0,1.7,1
2026-04-21 21:17:28.816,0,1.7,1
2026-04-21 21:17:28.921,0,1.7,1
2026-04-21 21:17:29.026,0,1.7,1
2026-04-21 21:17:29.130,0,1.7,1
2026-04-21 21:17:29.235,0,1.7,1
2026-04-21 21:17:29.340,0,1.7,1
2026-04-21 21:17:29.441,0,1.7,1
2026-04-21 21:17:29.544,0,1.7,1
2026-04-21 21:17:29.645,0,1.7,1
2026-04-21 21:17:29.747,0,1.7,1
2026-04-21 21:17:29.852,0,1.7,1
2026-04-21 21:17:29.956,0,1.7,1
2026-04-21 21:17:30.061,0,1.7,1
2026-04-21 21:17:30.166,0,1.7,1
2026-04-21 21:17:30.271,0,1.7,1
2026-04-21 21:17:30.377,0,1.7,1
2026-04-21 21:17:30.480,0,1.7,1
2026-04-21 21:17:30.584,0,1.7,1
2026-04-21 21:17:30.684,0,1.7,1
2026-04-21 21:17:30.788,0,1.7,1
2026-04-21 21:17:30.893,0,1.7,1
2026-04-21 21:17:30.998,0,1.7,1
2026-04-21 21:17:31.103,0,1.7,1
2026-04-21 21:17:31.204,0,1.7,1
2026-04-21 21:17:31.306,0,1.7,1
2026-04-21 21:17:31.411,0,1.7,1
2026-04-21 21:17:31.517,0,1.7,1
2026-04-21 21:17:31.622,0,1.7,1
2026-04-21 21:17:31.725,0,1.7,1
2026-04-21 21:17:31.829,0,1.7,1
2026-04-21 21:17:31.934,0,1.7,1
2026-04-21 21:17:32.037,0,1.7,1
2026-04-21 21:17:32.142,0,1.7,1
2026-04-21 21:17:32.247,1,1.7,1
2026-04-21 21:17:32.352,1,1.7,1
2026-04-21 21:17:32.454,1,1.7,1
2026-04-21 21:17:32.557,1,1.7,1
2026-04-21 21:17:32.662,1,1.7,1
2026-04-21 21:17:32.767,0,1.7,1
2026-04-21 21:17:32.870,0,1.7,1
2026-04-21 21:17:32.975,0,1.7,1
2026-04-21 21:17:33.080,0,1.7,1
2026-04-21 21:17:33.185,0,1.7,1
2026-04-21 21:17:33.291,0,1.7,1
2026-04-21 21:17:33.395,0,1.7,1
2026-04-21 21:17:33.500,0,1.7,1
2026-04-21 21:17:33.603,0,1.7,1
2026-04-21 21:17:33.709,0,1.7,1
2026-04-21 21:17:33.810,1,1.7,1
2026-04-21 21:17:33.915,1,1.7,1
2026-04-21 21:17:34.020,1,1.7,1
2026-04-21 21:17:34.121,1,1.7,1
2026-04-21 21:17:34.226,1,1.7,1
2026-04-21 21:17:34.328,1,1.7,1
2026-04-21 21:17:34.429,0,1.7,1
2026-04-21 21:17:34.532,0,1.7,1
2026-04-21 21:17:34.637,0,1.7,1
2026-04-21 21:17:34.741,0,1.7,1
2026-04-21 21:17:34.845,0,1.7,1
2026-04-21 21:17:34.946,0,1.7,1
2026-04-21 21:17:35.051,0,1.7,1
2026-04-21 21:17:35.153,0,1.7,1
2026-04-21 21:17:35.256,0,1.7,1
2026-04-21 21:17:35.357,0,1.7,1
2026-04-21 21:17:35.462,1,1.7,1
2026-04-21 21:17:35.563,1,1.7,1
2026-04-21 21:17:35.666,1,1.7,1
2026-04-21 21:17:35.770,1,1.7,1
2026-04-21 21:17:35.873,1,1.7,1
2026-04-21 21:17:35.976,1,1.7,1
2026-04-21 21:17:36.078,1,1.7,1
2026-04-21 21:17:36.184,0,1.7,1
2026-04-21 21:17:36.288,0,1.7,1
2026-04-21 21:17:36.393,0,1.7,1
2026-04-21 21:17:36.498,0,1.7,1
2026-04-21 21:17:36.603,0,1.7,1
2026-04-21 21:17:36.708,0,1.7,1
2026-04-21 21:17:36.812,0,1.7,1
2026-04-21 21:17:36.917,0,1.7,1
2026-04-21 21:17:37.022,0,1.7,1
2026-04-21 21:17:37.124,1,1.7,1
2026-04-21 21:17:37.228,1,1.7,1
2026-04-21 21:17:37.331,1,1.7,1
2026-04-21 21:17:37.433,1,1.7,1
2026-04-21 21:17:37.537,1,1.7,1
2026-04-21 21:17:37.638,1,1.7,1
2026-04-21 21:17:37.744,1,1.7,1
2026-04-21 21:17:37.846,0,1.7,1
2026-04-21 21:17:37.951,1,1.7,1
2026-04-21 21:17:38.056,1,1.7,1
2026-04-21 21:17:38.162,1,1.7,1
2026-04-21 21:17:38.262,1,1.7,1
2026-04-21 21:17:38.366,1,1.7,1
2026-04-21 21:17:38.470,1,1.7,1
2026-04-21 21:17:38.573,1,1.7,1
2026-04-21 21:17:38.678,1,1.7,1
2026-04-21 21:17:38.782,1,1.7,1
2026-04-21 21:17:38.887,2,1.7,1
2026-04-21 21:17:38.989,2,1.7,1
2026-04-21 21:17:39.094,2,1.7,1
2026-04-21 21:17:39.198,2,1.7,1
2026-04-21 21:17:39.300,3,1.7,1
2026-04-21 21:17:39.400,3,1.7,1
2026-04-21 21:17:39.503,3,1.7,1
2026-04-21 21:17:39.606,2,1.7,1
2026-04-21 21:17:39.711,2,1.7,1
2026-04-21 21:17:39.814,2,1.7,1
